timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/02/15 14:56:24.621, 82 %, 2 %, 51.04 W, 653 MiB
2026/02/15 14:56:26.621, 84 %, 2 %, 50.97 W, 653 MiB
2026/02/15 14:56:28.621, 84 %, 2 %, 50.94 W, 653 MiB
2026/02/15 14:56:30.622, 81 %, 2 %, 50.89 W, 653 MiB
2026/02/15 14:56:32.622, 74 %, 2 %, 50.89 W, 653 MiB
2026/02/15 14:56:34.622, 80 %, 2 %, 50.99 W, 653 MiB
2026/02/15 14:56:36.622, 81 %, 2 %, 51.03 W, 653 MiB
2026/02/15 14:56:38.622, 83 %, 2 %, 51.05 W, 653 MiB
2026/02/15 14:56:40.622, 83 %, 2 %, 50.98 W, 653 MiB
2026/02/15 14:56:42.623, 82 %, 2 %, 50.82 W, 653 MiB
2026/02/15 14:56:44.623, 79 %, 2 %, 51.03 W, 653 MiB
2026/02/15 14:56:46.623, 79 %, 2 %, 50.81 W, 653 MiB
2026/02/15 14:56:48.623, 83 %, 2 %, 51.13 W, 653 MiB
2026/02/15 14:56:50.623, 79 %, 2 %, 50.97 W, 653 MiB
2026/02/15 14:56:52.624, 79 %, 2 %, 50.91 W, 653 MiB
2026/02/15 14:56:54.624, 86 %, 2 %, 51.01 W, 653 MiB
2026/02/15 14:56:56.624, 77 %, 2 %, 51.06 W, 653 MiB
2026/02/15 14:56:58.624, 83 %, 2 %, 51.10 W, 653 MiB
2026/02/15 14:57:00.624, 77 %, 2 %, 50.94 W, 653 MiB
2026/02/15 14:57:02.624, 76 %, 2 %, 50.96 W, 653 MiB
2026/02/15 14:57:04.625, 82 %, 2 %, 50.94 W, 653 MiB
2026/02/15 14:57:06.625, 82 %, 2 %, 50.98 W, 653 MiB
2026/02/15 14:57:08.625, 79 %, 2 %, 50.98 W, 653 MiB
2026/02/15 14:57:10.625, 78 %, 2 %, 50.99 W, 653 MiB
2026/02/15 14:57:12.625, 79 %, 2 %, 50.94 W, 653 MiB
2026/02/15 14:57:14.626, 75 %, 2 %, 50.78 W, 653 MiB
2026/02/15 14:57:16.626, 77 %, 2 %, 51.17 W, 653 MiB
2026/02/15 14:57:18.626, 79 %, 2 %, 51.20 W, 653 MiB
2026/02/15 14:57:20.626, 79 %, 2 %, 51.25 W, 653 MiB
2026/02/15 14:57:22.626, 79 %, 2 %, 51.22 W, 653 MiB
2026/02/15 14:57:24.626, 85 %, 2 %, 51.33 W, 653 MiB
2026/02/15 14:57:26.627, 83 %, 2 %, 51.01 W, 653 MiB
2026/02/15 14:57:28.627, 81 %, 2 %, 51.06 W, 653 MiB
2026/02/15 14:57:30.627, 80 %, 2 %, 51.09 W, 653 MiB
2026/02/15 14:57:32.627, 85 %, 2 %, 51.11 W, 653 MiB
2026/02/15 14:57:34.627, 83 %, 2 %, 51.10 W, 653 MiB
2026/02/15 14:57:36.628, 81 %, 2 %, 51.12 W, 653 MiB
2026/02/15 14:57:38.628, 80 %, 2 %, 50.88 W, 653 MiB
2026/02/15 14:57:40.628, 83 %, 2 %, 51.15 W, 653 MiB
2026/02/15 14:57:42.628, 81 %, 2 %, 50.94 W, 653 MiB
2026/02/15 14:57:44.628, 81 %, 2 %, 51.11 W, 653 MiB
2026/02/15 14:57:46.628, 82 %, 2 %, 51.30 W, 653 MiB
2026/02/15 14:57:48.629, 81 %, 2 %, 51.18 W, 653 MiB
2026/02/15 14:57:50.629, 75 %, 2 %, 51.01 W, 653 MiB
2026/02/15 14:57:52.629, 81 %, 2 %, 51.23 W, 653 MiB
2026/02/15 14:57:54.629, 79 %, 2 %, 51.03 W, 653 MiB
2026/02/15 14:57:56.629, 79 %, 2 %, 51.23 W, 653 MiB
2026/02/15 14:57:58.630, 82 %, 2 %, 51.17 W, 653 MiB
2026/02/15 14:58:00.630, 77 %, 2 %, 51.03 W, 653 MiB
2026/02/15 14:58:02.630, 85 %, 2 %, 51.20 W, 653 MiB
2026/02/15 14:58:04.630, 81 %, 2 %, 51.23 W, 653 MiB
2026/02/15 14:58:06.630, 77 %, 2 %, 51.29 W, 653 MiB
2026/02/15 14:58:08.630, 78 %, 2 %, 51.33 W, 653 MiB
2026/02/15 14:58:10.631, 80 %, 2 %, 51.01 W, 653 MiB
2026/02/15 14:58:12.631, 83 %, 2 %, 51.21 W, 653 MiB
2026/02/15 14:58:14.631, 76 %, 2 %, 51.13 W, 653 MiB
2026/02/15 14:58:16.631, 82 %, 2 %, 51.34 W, 653 MiB
2026/02/15 14:58:18.631, 81 %, 2 %, 51.31 W, 653 MiB
2026/02/15 14:58:20.631, 86 %, 2 %, 51.35 W, 653 MiB
2026/02/15 14:58:22.632, 79 %, 2 %, 51.15 W, 653 MiB
2026/02/15 14:58:24.632, 73 %, 2 %, 51.07 W, 653 MiB
2026/02/15 14:58:26.632, 80 %, 2 %, 51.29 W, 653 MiB
2026/02/15 14:58:28.632, 84 %, 2 %, 51.29 W, 653 MiB
2026/02/15 14:58:30.632, 76 %, 2 %, 51.23 W, 653 MiB
2026/02/15 14:58:32.632, 83 %, 2 %, 51.15 W, 653 MiB
2026/02/15 14:58:34.633, 79 %, 2 %, 51.16 W, 653 MiB
2026/02/15 14:58:36.633, 79 %, 2 %, 51.29 W, 653 MiB
2026/02/15 14:58:38.633, 76 %, 2 %, 51.06 W, 653 MiB
2026/02/15 14:58:40.633, 83 %, 2 %, 51.16 W, 653 MiB
2026/02/15 14:58:42.633, 80 %, 2 %, 51.34 W, 653 MiB
2026/02/15 14:58:44.634, 79 %, 2 %, 51.26 W, 653 MiB
2026/02/15 14:58:46.634, 85 %, 2 %, 51.31 W, 653 MiB
2026/02/15 14:58:48.634, 82 %, 2 %, 51.46 W, 653 MiB
2026/02/15 14:58:50.634, 78 %, 2 %, 51.25 W, 653 MiB
2026/02/15 14:58:52.634, 83 %, 2 %, 51.43 W, 653 MiB
2026/02/15 14:58:54.634, 78 %, 2 %, 51.56 W, 653 MiB
2026/02/15 14:58:56.635, 74 %, 2 %, 51.34 W, 653 MiB
2026/02/15 14:58:58.635, 82 %, 2 %, 51.42 W, 653 MiB
2026/02/15 14:59:00.635, 80 %, 2 %, 51.30 W, 647 MiB
2026/02/15 14:59:02.635, 74 %, 2 %, 51.18 W, 647 MiB
2026/02/15 14:59:04.635, 81 %, 2 %, 51.22 W, 647 MiB
2026/02/15 14:59:06.636, 81 %, 2 %, 51.47 W, 647 MiB
2026/02/15 14:59:08.636, 80 %, 2 %, 51.10 W, 647 MiB
2026/02/15 14:59:10.636, 79 %, 2 %, 51.30 W, 647 MiB
2026/02/15 14:59:12.636, 81 %, 2 %, 51.20 W, 647 MiB
2026/02/15 14:59:14.636, 82 %, 2 %, 51.41 W, 647 MiB
2026/02/15 14:59:16.636, 83 %, 2 %, 51.44 W, 647 MiB
2026/02/15 14:59:18.637, 83 %, 2 %, 51.04 W, 647 MiB
2026/02/15 14:59:20.637, 84 %, 2 %, 51.15 W, 647 MiB
2026/02/15 14:59:22.637, 79 %, 2 %, 51.17 W, 647 MiB
2026/02/15 14:59:24.637, 74 %, 2 %, 51.03 W, 647 MiB
2026/02/15 14:59:26.637, 76 %, 2 %, 50.99 W, 647 MiB
2026/02/15 14:59:28.638, 80 %, 2 %, 50.96 W, 647 MiB
2026/02/15 14:59:30.638, 76 %, 2 %, 51.17 W, 647 MiB
2026/02/15 14:59:32.638, 77 %, 2 %, 51.11 W, 647 MiB
2026/02/15 14:59:34.638, 87 %, 2 %, 51.37 W, 647 MiB
2026/02/15 14:59:36.638, 83 %, 2 %, 51.16 W, 642 MiB
2026/02/15 14:59:38.638, 79 %, 2 %, 51.17 W, 642 MiB
2026/02/15 14:59:40.639, 82 %, 2 %, 51.10 W, 642 MiB
2026/02/15 14:59:42.639, 85 %, 2 %, 51.14 W, 642 MiB
2026/02/15 14:59:44.639, 76 %, 2 %, 51.17 W, 642 MiB
2026/02/15 14:59:46.639, 80 %, 2 %, 50.98 W, 642 MiB
2026/02/15 14:59:48.639, 83 %, 2 %, 51.22 W, 642 MiB
2026/02/15 14:59:50.639, 71 %, 2 %, 51.14 W, 642 MiB
2026/02/15 14:59:52.640, 80 %, 2 %, 51.19 W, 642 MiB
2026/02/15 14:59:54.640, 74 %, 2 %, 51.04 W, 642 MiB
2026/02/15 14:59:56.640, 81 %, 2 %, 51.17 W, 642 MiB
2026/02/15 14:59:58.640, 82 %, 2 %, 51.06 W, 642 MiB
2026/02/15 15:00:00.641, 77 %, 2 %, 50.93 W, 642 MiB
2026/02/15 15:00:02.641, 81 %, 2 %, 50.94 W, 642 MiB
2026/02/15 15:00:04.641, 83 %, 2 %, 51.18 W, 642 MiB
2026/02/15 15:00:06.641, 84 %, 2 %, 51.08 W, 642 MiB
2026/02/15 15:00:08.641, 82 %, 2 %, 50.93 W, 642 MiB
2026/02/15 15:00:10.642, 85 %, 2 %, 51.17 W, 642 MiB
2026/02/15 15:00:12.642, 84 %, 2 %, 51.35 W, 642 MiB
2026/02/15 15:00:14.643, 86 %, 2 %, 51.26 W, 642 MiB
2026/02/15 15:00:16.643, 78 %, 2 %, 51.22 W, 642 MiB
2026/02/15 15:00:18.643, 79 %, 2 %, 51.31 W, 642 MiB
2026/02/15 15:00:20.643, 86 %, 2 %, 51.42 W, 642 MiB
2026/02/15 15:00:22.644, 82 %, 2 %, 51.24 W, 642 MiB
2026/02/15 15:00:24.644, 77 %, 2 %, 50.91 W, 642 MiB
2026/02/15 15:00:26.644, 84 %, 2 %, 51.10 W, 642 MiB
2026/02/15 15:00:28.644, 82 %, 2 %, 51.03 W, 642 MiB
2026/02/15 15:00:30.644, 81 %, 2 %, 50.89 W, 642 MiB
2026/02/15 15:00:32.645, 81 %, 2 %, 50.95 W, 642 MiB
2026/02/15 15:00:34.645, 78 %, 2 %, 51.14 W, 642 MiB
2026/02/15 15:00:36.645, 83 %, 2 %, 51.12 W, 642 MiB
2026/02/15 15:00:38.645, 79 %, 2 %, 51.17 W, 642 MiB
2026/02/15 15:00:40.646, 78 %, 2 %, 51.16 W, 642 MiB
2026/02/15 15:00:42.646, 82 %, 2 %, 51.06 W, 642 MiB
2026/02/15 15:00:44.646, 83 %, 2 %, 51.11 W, 642 MiB
2026/02/15 15:00:46.646, 78 %, 2 %, 51.16 W, 642 MiB
2026/02/15 15:00:48.646, 78 %, 2 %, 51.38 W, 642 MiB
2026/02/15 15:00:50.647, 80 %, 2 %, 51.09 W, 642 MiB
2026/02/15 15:00:52.647, 76 %, 2 %, 51.08 W, 642 MiB
2026/02/15 15:00:54.647, 81 %, 2 %, 51.29 W, 642 MiB
2026/02/15 15:00:56.647, 83 %, 2 %, 51.22 W, 642 MiB
2026/02/15 15:00:58.647, 78 %, 2 %, 51.30 W, 642 MiB
2026/02/15 15:01:00.648, 75 %, 2 %, 51.04 W, 642 MiB
2026/02/15 15:01:02.648, 79 %, 2 %, 51.19 W, 642 MiB
2026/02/15 15:01:04.648, 76 %, 2 %, 51.13 W, 642 MiB
2026/02/15 15:01:06.648, 84 %, 2 %, 51.48 W, 642 MiB
2026/02/15 15:01:08.649, 86 %, 2 %, 51.51 W, 642 MiB
2026/02/15 15:01:10.649, 79 %, 2 %, 51.01 W, 642 MiB
2026/02/15 15:01:12.650, 81 %, 2 %, 51.27 W, 642 MiB
2026/02/15 15:01:14.650, 81 %, 2 %, 51.23 W, 642 MiB
2026/02/15 15:01:16.650, 77 %, 2 %, 50.88 W, 642 MiB
2026/02/15 15:01:18.650, 84 %, 2 %, 51.27 W, 642 MiB
2026/02/15 15:01:20.651, 80 %, 2 %, 50.99 W, 642 MiB
2026/02/15 15:01:22.651, 79 %, 2 %, 51.24 W, 642 MiB
2026/02/15 15:01:24.651, 79 %, 2 %, 51.07 W, 642 MiB
2026/02/15 15:01:26.651, 82 %, 2 %, 51.28 W, 642 MiB
2026/02/15 15:01:28.651, 85 %, 2 %, 51.37 W, 642 MiB
2026/02/15 15:01:30.652, 84 %, 2 %, 51.53 W, 642 MiB
2026/02/15 15:01:32.652, 83 %, 2 %, 51.64 W, 642 MiB
2026/02/15 15:01:34.652, 78 %, 2 %, 51.39 W, 642 MiB
2026/02/15 15:01:36.652, 83 %, 2 %, 51.22 W, 642 MiB
2026/02/15 15:01:38.652, 73 %, 2 %, 51.19 W, 642 MiB
2026/02/15 15:01:40.653, 80 %, 2 %, 51.51 W, 642 MiB
2026/02/15 15:01:42.653, 81 %, 2 %, 51.45 W, 642 MiB
2026/02/15 15:01:44.653, 82 %, 2 %, 51.35 W, 642 MiB
2026/02/15 15:01:46.653, 81 %, 2 %, 51.40 W, 642 MiB
2026/02/15 15:01:48.653, 75 %, 2 %, 51.35 W, 642 MiB
2026/02/15 15:01:50.654, 79 %, 2 %, 51.45 W, 642 MiB
2026/02/15 15:01:52.654, 78 %, 2 %, 51.40 W, 642 MiB
2026/02/15 15:01:54.654, 77 %, 2 %, 51.31 W, 642 MiB
2026/02/15 15:01:56.654, 77 %, 2 %, 51.31 W, 642 MiB
2026/02/15 15:01:58.654, 77 %, 2 %, 51.46 W, 642 MiB
2026/02/15 15:02:00.654, 76 %, 2 %, 51.48 W, 642 MiB
2026/02/15 15:02:02.655, 74 %, 2 %, 51.31 W, 642 MiB
2026/02/15 15:02:04.655, 76 %, 2 %, 51.21 W, 642 MiB
2026/02/15 15:02:06.655, 78 %, 2 %, 51.27 W, 642 MiB
2026/02/15 15:02:08.655, 79 %, 2 %, 51.21 W, 642 MiB
2026/02/15 15:02:10.655, 82 %, 2 %, 51.30 W, 642 MiB
2026/02/15 15:02:12.656, 82 %, 2 %, 51.26 W, 642 MiB
2026/02/15 15:02:14.656, 79 %, 2 %, 51.02 W, 642 MiB
2026/02/15 15:02:16.656, 83 %, 2 %, 51.31 W, 642 MiB
2026/02/15 15:02:18.656, 82 %, 2 %, 51.42 W, 642 MiB
